region,yr_id,Under 5,5 to 9,10 to 14,15 to 17,18 and 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 and 61,62 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85 and Older,Hispanic,"Non-Hispanic, White","Non-Hispanic, Black","Non-Hispanic, American Indian or Alaska Native","Non-Hispanic, Asian","Non-Hispanic, Hawaiian or Pacific Islander","Non-Hispanic, Other","Non-Hispanic, Two or More Races","Less than $15,000","$15,000 to $29,999","$30,000 to $44,999","$45,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more",households,Single Family - Detached,Single Family - Multiple Unit,Multifamily,Mobile Home,Single-family Detached,Single-family Attached,units,unoccupiable,occupied,vacancy,Total Population,Household Population,Group Quarters - Military,Group Quarters - College,Group Quarters - Other,Female,Male
San Diego,2010,203423,194029,198716,128000,97095,270750,250737,220185,211012,209551,219795,210980,180305,64088,85223,103241,77313,64347,52564,53960,991348,1500048,146600,14098,328058,13504,6715,94943,117399,149059,153011,123744,111343,142638,100598,63023,64066,61985,1086866,588086,111722,412457,42737,0,0,1155002,40299,1086866,68136,3095314,2993348,43597,16055,42314,1541635,1553679
San Diego,2011,209939,197889,198979,128906,96042,270069,246734,224967,209228,211981,217105,213349,185353,65439,90154,108268,80121,64799,53080,55202,1007946,1508516,148192,14259,331553,13670,6764,96704,117655,149507,153501,124115,111644,142889,100770,63130,64158,62052,1089421,590190,112071,413464,42699,0,0,1158424,40254,1089421,69003,3127604,3025704,42309,16968,42623,1556374,1571230
San Diego,2012,215677,203754,198403,131596,97211,267545,240615,230265,207600,213448,213155,215234,191186,66248,94222,116570,83765,65707,53304,56304,1027386,1514982,149912,14425,335500,13848,6884,98872,134337,155257,146891,127719,109220,138667,97433,59492,63596,60900,1093512,592312,112461,414893,42666,0,0,1162332,40227,1093512,68820,3161809,3058317,42538,17550,43404,1572513,1589296
San Diego,2013,219753,210910,199295,133282,98736,265080,234627,235654,208516,213747,210161,216585,196575,68049,96238,125993,88669,67357,53490,57184,1048016,1523335,151742,14568,340037,14007,6997,101199,131072,160093,151607,127953,106486,138387,94533,59892,68119,63211,1101353,593807,112736,416458,42502,0,0,1165503,40187,1101353,64150,3199901,3098470,40626,18323,42482,1590776,1609125
San Diego,2014,222064,216798,200875,132669,100101,263770,228231,240016,210707,212562,208012,217419,200838,71049,97916,134674,93526,69690,53723,58123,1067176,1529323,153268,14709,343727,14158,7141,103261,128320,158893,152621,130246,104963,136209,98783,58638,66331,72559,1107563,595931,113020,420620,42463,0,0,1172034,40128,1107563,64471,3232763,3127530,42359,19057,43817,1606047,1626716
San Diego,2015,223794,221228,202767,131345,101507,263863,222366,240769,214765,210549,208039,216913,204854,74309,99930,143484,98089,72590,54010,59536,1085735,1535598,154802,14841,346953,14294,7266,105218,124626,150080,148524,125962,105111,145658,104344,60748,69260,80597,1114910,598266,113337,424833,42421,0,0,1178857,40113,1114910,63947,3264707,3156629,43803,19374,44901,1620651,1644056
San Diego,2016,223203,224837,205110,130974,99967,263800,218225,236041,219706,207340,209300,213495,207652,76640,102785,150715,103069,75194,54249,60708,1099430,1535953,155573,14909,348790,14383,7279,106693,115110,147323,144357,132673,110314,150925,107191,62794,69222,81334,1121243,599999,114207,426458,42319,0,0,1182983,40047,1121243,61740,3283010,3175540,44269,19172,44029,1628943,1654067
San Diego,2017,221450,227947,209845,131182,98214,264492,215556,229923,224662,205455,210778,209297,209349,78005,107057,155001,110500,78005,55108,61541,1113344,1537606,156443,14954,350930,14463,7349,108278,105079,145561,145220,128290,111683,148071,110661,65851,78144,90905,1129465,602844,114797,430792,42122,0,0,1190555,40013,1129465,61090,3303367,3197068,43352,19006,43941,1638549,1664818
San Diego,2018,218753,229178,215375,131475,98417,264398,212399,223371,229237,205466,210640,205491,210030,78984,110938,157747,119116,81643,56539,61921,1125980,1538180,157333,15009,352854,14553,7407,109802,100413,141203,136210,127594,111101,152554,114247,68256,83083,103130,1137791,605203,115182,435364,41960,0,0,1197709,39808,1137791,59918,3321118,3210345,44050,20201,46522,1646667,1674451
San Diego,2019,213481,230127,220121,132226,99228,263346,209843,216141,232640,206688,208761,202413,209873,79805,113581,161305,126877,85459,58454,62950,1135321,1537299,158292,15076,353911,14609,7451,111360,105174,136187,137874,127806,107921,154683,115043,70938,87781,103869,1147276,607738,115649,439484,41947,0,0,1204818,39696,1147276,57542,3333319,3223530,44343,20236,45210,1652200,1681119
San Diego,2020,205904,230989,223104,133490,98931,261861,207190,208315,231394,208834,204996,200622,207276,80734,114670,164902,134013,88881,60482,64691,1138746,1531160,158693,15033,353061,14520,7489,112577,102652,125813,132953,124422,111506,160243,122344,68015,88224,117809,1153981,611331,116403,446279,42030,0,0,1216043,39632,1153981,62062,3331279,3218869,44853,20306,47251,1651499,1679780
San Diego,2021,197646,229493,225022,135190,97988,259127,205113,202317,224786,211732,199960,200006,201821,81186,114951,168295,139549,92723,62146,66353,1137461,1518497,158351,15000,350737,14424,7517,113417,104751,128294,135378,126076,112867,161609,122956,66184,87013,115644,1160772,612916,115895,449320,41942,0,0,1220073,39588,1160772,59301,3315404,3219058,39661,15987,40698,1643889,1671515
